Longitude,Latitude,Height,VelocityN,VelocityE,VelocityD
116.3197099,40.0084735,28511.0,-173.0,-1212.0,23.0
116.3197062,40.0084728,28342.0,-244.0,-1235.0,100.0
116.319703,40.0084729,28546.0,-80.0,-1150.0,23.0
116.3196993,40.0084726,28595.0,-216.0,-1243.0,40.0
116.3196953,40.0084725,28644.0,-65.0,-1341.0,25.0
116.319692,40.0084722,28755.0,-203.0,-1184.0,1.0
116.3196885,40.0084727,29074.0,-48.0,-1196.0,-80.0
116.3196847,40.0084725,29052.0,-92.0,-1264.0,-45.0
116.3196809,40.0084725,29019.0,0.0,-1284.0,-21.0
116.3196774,40.0084719,29074.0,-116.0,-1247.0,-56.0
116.3196732,40.0084712,29131.0,-315.0,-1390.0,-40.0
116.3196698,40.0084714,29158.0,7.0,-1210.0,-50.0
116.3196659,40.0084713,29142.0,-127.0,-1302.0,9.0
116.319662,40.0084712,29114.0,-31.0,-1331.0,14.0
116.3196578,40.0084707,29124.0,-161.0,-1423.0,24.0
116.3196541,40.0084707,29266.0,-22.0,-1329.0,-15.0
116.3196503,40.0084702,29114.0,-117.0,-1280.0,52.0
116.3196467,40.0084705,29222.0,75.0,-1248.0,28.0
116.3196428,40.0084697,29181.0,-200.0,-1340.0,57.0
116.319639,40.0084695,29334.0,-123.0,-1326.0,21.0
116.3196353,40.0084691,29376.0,-227.0,-1288.0,59.0
116.3196316,40.0084688,29590.0,-202.0,-1338.0,15.0
116.3196279,40.0084684,29562.0,-167.0,-1266.0,39.0
116.3196243,40.0084679,29585.0,-266.0,-1255.0,52.0
116.3196204,40.0084682,29656.0,-63.0,-1319.0,47.0
116.3196164,40.0084681,29686.0,-93.0,-1368.0,56.0
116.3196128,40.0084679,29744.0,-83.0,-1284.0,33.0
116.3196089,40.0084674,29647.0,-185.0,-1291.0,81.0
116.3196052,40.0084676,29771.0,-50.0,-1319.0,58.0
116.3196013,40.0084677,29844.0,-126.0,-1356.0,99.0
116.3195977,40.0084672,29976.0,-165.0,-1273.0,21.0
116.3195945,40.0084655,29982.0,-623.0,-1124.0,57.0
116.3195909,40.0084649,30040.0,-243.0,-1262.0,25.0
116.319587,40.0084645,30042.0,-246.0,-1312.0,51.0
116.3195833,40.0084643,30126.0,-149.0,-1286.0,33.0
116.3195796,40.0084638,30147.0,-243.0,-1310.0,59.0
116.3195759,40.0084636,30251.0,-145.0,-1265.0,37.0
116.3195724,40.0084631,30385.0,-314.0,-1241.0,30.0
116.3195687,40.0084629,30343.0,-132.0,-1248.0,49.0
116.319565,40.0084629,30435.0,-110.0,-1286.0,33.0
116.3195614,40.0084623,30502.0,-294.0,-1247.0,31.0
116.3195576,40.0084618,30452.0,-184.0,-1262.0,39.0
116.3195541,40.0084623,30518.0,-14.0,-1199.0,51.0
116.3195502,40.0084622,30524.0,-28.0,-1325.0,43.0
116.3195462,40.008462,30478.0,-107.0,-1345.0,74.0
116.3195425,40.0084614,30647.0,-247.0,-1325.0,19.0
116.319539,40.0084613,30701.0,-280.0,-1205.0,50.0
116.3195354,40.0084614,30811.0,-52.0,-1210.0,13.0
116.3195315,40.0084609,30840.0,-278.0,-1326.0,27.0
116.3195281,40.0084606,30936.0,-208.0,-1200.0,0.0
116.3195246,40.0084605,30856.0,-236.0,-1202.0,69.0
116.3195208,40.0084609,30958.0,20.0,-1291.0,42.0
116.319517,40.0084608,31045.0,-108.0,-1325.0,32.0
116.3195129,40.0084611,31074.0,-1.0,-1353.0,41.0
116.319509,40.0084612,31086.0,-8.0,-1335.0,50.0
116.3195055,40.0084612,31216.0,-83.0,-1235.0,24.0
116.3195022,40.0084607,31333.0,-210.0,-1177.0,-9.0
116.3194989,40.0084599,31377.0,-343.0,-1152.0,-6.0
116.3194957,40.0084599,31517.0,-165.0,-1102.0,-45.0
116.3194918,40.0084613,31590.0,243.0,-1238.0,-35.0
116.3194886,40.0084615,31755.0,102.0,-1158.0,-67.0
116.3194848,40.0084618,31897.0,-17.0,-1309.0,-55.0
116.3194814,40.0084627,31943.0,214.0,-1138.0,-53.0
116.319478,40.0084637,32140.0,267.0,-1200.0,-75.0
116.3194746,40.0084652,32262.0,479.0,-1179.0,-107.0
116.3194714,40.0084664,32255.0,367.0,-1069.0,-46.0
116.3194683,40.0084668,32408.0,232.0,-1085.0,-92.0
116.3194651,40.0084684,32542.0,383.0,-1085.0,-73.0
116.3194626,40.008469,32692.0,269.0,-917.0,-89.0
116.3194596,40.0084702,32955.0,345.0,-1064.0,-124.0
116.3194568,40.0084711,33179.0,358.0,-1031.0,-171.0
116.3194542,40.0084722,33228.0,443.0,-902.0,-150.0
116.3194516,40.008474,33422.0,645.0,-882.0,-176.0
116.3194491,40.0084759,33429.0,740.0,-816.0,-171.0
116.3194459,40.0084768,33090.0,555.0,-917.0,-49.0
116.3194437,40.0084793,33265.0,867.0,-766.0,-105.0
116.319442,40.0084813,33316.0,841.0,-588.0,-69.0
116.3194398,40.0084836,33214.0,925.0,-610.0,-56.0
116.3194382,40.0084869,33307.0,1161.0,-542.0,-66.0
116.3194367,40.0084898,33212.0,1160.0,-478.0,-60.0
116.3194357,40.0084927,33244.0,1129.0,-346.0,-38.0
116.3194353,40.008496,33544.0,1097.0,-263.0,-89.0
116.3194342,40.0084989,33469.0,1150.0,-278.0,-6.0
116.3194337,40.008502,33660.0,1093.0,-213.0,-44.0
116.3194336,40.0085046,33623.0,1122.0,16.0,-20.0
116.3194335,40.0085072,33387.0,1222.0,82.0,34.0
116.3194336,40.0085098,33402.0,1188.0,66.0,-44.0
116.3194334,40.0085125,33229.0,1262.0,32.0,-5.0
116.3194338,40.0085157,33320.0,1333.0,138.0,-43.0
116.3194341,40.0085185,33297.0,1221.0,183.0,16.0
116.3194347,40.0085209,33320.0,1083.0,222.0,-34.0
116.319435,40.0085235,33261.0,1127.0,169.0,-1.0
116.3194352,40.0085262,33308.0,1103.0,77.0,-33.0
116.319436,40.0085283,33157.0,998.0,304.0,45.0
116.3194374,40.0085309,33165.0,1079.0,460.0,27.0
116.3194383,40.0085334,33059.0,1110.0,380.0,55.0
116.3194395,40.0085359,33082.0,1046.0,431.0,39.0
116.3194414,40.0085388,33057.0,1235.0,643.0,49.0
116.3194435,40.008541,33154.0,942.0,734.0,40.0
116.3194444,40.0085428,33304.0,725.0,334.0,-3.0
116.3194463,40.0085453,33294.0,945.0,616.0,35.0
116.3194482,40.0085479,33360.0,1054.0,631.0,3.0
116.3194503,40.0085506,33378.0,1058.0,750.0,39.0
116.3194522,40.008553,33443.0,996.0,680.0,2.0
116.3194538,40.0085551,33465.0,903.0,587.0,20.0
116.3194558,40.0085579,33539.0,1136.0,648.0,-19.0
116.3194576,40.0085603,33423.0,1100.0,656.0,54.0
116.3194596,40.0085627,33482.0,1039.0,681.0,14.0
116.3194609,40.008565,33495.0,1009.0,510.0,16.0
116.3194625,40.0085674,33544.0,1107.0,521.0,-39.0
116.3194643,40.0085697,33479.0,1083.0,632.0,-18.0
116.319466,40.0085717,33421.0,989.0,624.0,12.0
116.319468,40.0085739,33384.0,1014.0,674.0,-15.0
116.3194696,40.0085756,33358.0,918.0,593.0,-8.0
116.3194711,40.0085775,33377.0,918.0,549.0,-19.0
116.3194729,40.0085791,33490.0,780.0,564.0,-16.0
116.3194748,40.0085812,33680.0,823.0,627.0,-113.0
116.3194767,40.0085835,33775.0,942.0,635.0,-135.0
116.3194786,40.0085855,33758.0,857.0,689.0,-140.0
116.3194807,40.0085874,33729.0,977.0,705.0,-113.0
116.3194834,40.0085889,33798.0,755.0,860.0,-139.0
116.3194857,40.0085913,33747.0,1056.0,838.0,-119.0
116.3194879,40.0085928,33772.0,812.0,759.0,-140.0
116.3194895,40.0085936,33653.0,593.0,608.0,-65.0
116.3194919,40.0085952,33750.0,667.0,761.0,-87.0
116.3194939,40.008596,33808.0,497.0,661.0,-86.0
116.319497,40.008598,33853.0,784.0,945.0,-85.0
116.3194986,40.0085995,33907.0,639.0,680.0,-99.0
116.3195008,40.0086009,33970.0,625.0,722.0,-89.0
116.319503,40.008602,33819.0,434.0,785.0,-51.0
