Acc_X,Acc_Y,Acc_Z
-0.117085,0.113204,9.806823
-0.116855,0.085917,9.790635
-0.102189,0.049973,9.808278
-0.102041,0.063618,9.812927
-0.120883,0.114577,9.79669
-0.111381,0.146992,9.811258
-0.107903,0.147149,9.807491
-0.100356,0.06303,9.818673
-0.115857,0.050748,9.794211
-0.123112,0.101827,9.802509
-0.115708,0.110238,9.784865
-0.113682,0.10134,9.8037
-0.113576,0.07604,9.779548
-0.111281,0.072621,9.79278
-0.118143,0.108809,9.80761
-0.113234,0.127452,9.793734
-0.113269,0.102765,9.823989
-0.11048,0.040703,9.799099
-0.109922,0.056382,9.802151
-0.097171,0.147771,9.805535
-0.103009,0.139507,9.830284
-0.120739,-0.028392,9.76963
-0.118772,0.042363,9.816265
-0.096267,0.174811,9.808135
-0.109441,0.201774,9.812903
-0.101568,0.073395,9.792852
-0.115746,-0.004321,9.793496
-0.100921,0.048866,9.802246
-0.112081,0.149209,9.813522
-0.105477,0.15443,9.814287
-0.111303,0.07582,9.812856
-0.119537,0.032807,9.800768
-0.102026,0.087507,9.802341
-0.115251,0.158073,9.811426
-0.112907,0.130988,9.808444
-0.105968,0.046564,9.814191
-0.116398,0.024585,9.806991
-0.107375,0.089193,9.784865
-0.117036,0.141279,9.806013
-0.114795,0.104865,9.81183
-0.119732,0.01168,9.810948
-0.122364,0.077215,9.814095
-0.115059,0.156194,9.790993
-0.104338,0.170666,9.803175
-0.102401,0.087716,9.800171
-0.103484,0.005576,9.801364
-0.085877,0.064423,9.800815
-0.099785,0.125438,9.808778
-0.121139,0.129313,9.800862
-0.119042,0.091891,9.81698
-0.124551,0.06502,9.804892
-0.129977,0.114753,9.786129
-0.116656,0.15685,9.794735
-0.121239,0.119896,9.774017
-0.106363,0.036858,9.808255
-0.095343,0.034857,9.794473
-0.101426,0.100217,9.781265
-0.1081,0.106104,9.807349
-0.103618,0.098916,9.814262
-0.118777,0.070339,9.80761
-0.128974,0.083521,9.805178
-0.106073,0.126435,9.800887
-0.086349,0.134172,9.80165
-0.112547,0.058167,9.813571
-0.095198,0.024118,9.800553
-0.090637,0.068598,9.804153
-0.107032,0.116763,9.790276
-0.108754,0.118985,9.809494
-0.099695,0.087853,9.811639
-0.107819,0.067814,9.799385
-0.10589,0.09356,9.788989
-0.097627,0.118478,9.805179
-0.119866,0.094648,9.793924
-0.122595,0.086777,9.802555
-0.108486,0.077156,9.800411
-0.113296,0.095469,9.79085
-0.094514,0.089609,9.809351
-0.120909,0.093676,9.809446
-0.097983,0.069614,9.8068
-0.107195,0.079684,9.800482
-0.104756,0.112567,9.789348
-0.085247,0.094936,9.799695
-0.121241,0.099723,9.8037
-0.112065,0.063642,9.824943
-0.092463,0.069766,9.804201
-0.108547,0.116922,9.789967
-0.108874,0.130994,9.822106
-0.122669,0.081857,9.817171
-0.097983,0.061291,9.800696
-0.114798,0.100779,9.799813
-0.113295,0.063421,9.810424
-0.098605,0.088981,9.789872
-0.112353,0.059015,9.79414
-0.106718,0.088956,9.795141
-0.10915,0.079173,9.809946
-0.128761,0.080526,9.806823
-0.116265,0.124155,9.806274
-0.120085,0.129081,9.807849
-0.104221,0.072784,9.812999
-0.112086,0.05775,9.805535
-0.114063,0.07102,9.812164
-0.095141,0.097729,9.811949
-0.118392,0.104366,9.803342
-0.122015,0.080775,9.810686
-0.107229,0.076214,9.803032
-0.093283,0.089293,9.815764
-0.110399,0.101059,9.805321
-0.117471,0.098237,9.793853
-0.100134,0.084724,9.787035
-0.12688,0.063389,9.803129
-0.102086,0.082787,9.813094
-0.134903,0.101091,9.801554
-0.12353,0.110302,9.793972
-0.120884,0.106908,9.793829
-0.112776,0.09207,9.81276
-0.132628,0.088227,9.806919
-0.11686,0.097443,9.795975
-0.118026,0.086692,9.794688
-0.106542,0.086872,9.803128
-0.109946,0.066903,9.801721
-0.097901,0.094498,9.803056
-0.11739,0.091063,9.79557
-0.133084,0.10476,9.803128
-0.121827,0.131925,9.803771
-0.113299,0.089657,9.814762
-0.114957,0.076487,9.792041
-0.115601,0.060557,9.797668
-0.098092,0.07316,9.7795
-0.095064,0.097913,9.810566
-0.102739,0.091176,9.802794
-0.10081,0.107487,9.807848
-0.111235,0.119681,9.818029
-0.124462,0.100274,9.810685
-0.099186,0.098206,9.80401
-0.109906,0.088324,9.793806
-0.105928,0.088359,9.794092
-0.102933,0.091028,9.807229
-0.105846,0.072133,9.81543
-0.10272,0.08975,9.812736
-0.104731,0.098852,9.816288
-0.107435,0.118546,9.801674
-0.109932,0.108848,9.803485
-0.093836,0.078278,9.803343
-0.106192,0.080063,9.803176
-0.101457,0.07659,9.807372
-0.119156,0.088023,9.798478
-0.127168,0.09104,9.815693
-0.110022,0.07536,9.799218
-0.093559,0.093872,9.808563
-0.120453,0.095164,9.803652
-0.100171,0.125931,9.814429
-0.111379,0.10725,9.81431
-0.109601,0.093049,9.80668
-0.090289,0.093713,9.809207
-0.097958,0.089391,9.799575
-0.113902,0.097937,9.804438
-0.106157,0.083814,9.801006
-0.130778,0.08166,9.80382
-0.107523,0.09785,9.798956
-0.119933,0.081737,9.802365
-0.10563,0.101885,9.819078
-0.101544,0.109657,9.811521
-0.104959,0.102064,9.810233
-0.102609,0.052812,9.800791
-0.098361,0.06225,9.789776
-0.099226,0.084906,9.78806
-0.131281,0.116078,9.803724
-0.107999,0.104422,9.804773
-0.104701,0.079022,9.791183
-0.131897,0.089183,9.799933
-0.114074,0.093822,9.80966
-0.103867,0.096008,9.818005
-0.083027,0.072728,9.802151
-0.117283,0.065241,9.80153
-0.108932,0.095019,9.809613
-0.125159,0.098797,9.80935
-0.119747,0.116894,9.817147
-0.10887,0.095603,9.800552
-0.107062,0.111968,9.80606
-0.12605,0.106,9.806466
-0.11417,0.094192,9.806966
-0.102504,0.080764,9.804796
-0.111628,0.071739,9.798479
-0.099537,0.072614,9.799957
-0.102927,0.09884,9.797167
-0.105898,0.101383,9.804487
-0.115917,0.101278,9.804367
-0.096123,0.089326,9.807658
-0.109921,0.093502,9.805465
-0.113855,0.088521,9.79054
-0.110003,0.081127,9.791207
-0.110304,0.055687,9.798955
-0.106764,0.065491,9.798597
-0.092974,0.094422,9.802723
-0.111533,0.099038,9.809494
-0.097967,0.103904,9.817814
-0.121853,0.09451,9.813905
-0.121731,0.103643,9.798884
-0.100891,0.089676,9.785795
-0.10947,0.07225,9.806036
-0.119315,0.065595,9.805607
-0.08783,0.077776,9.805822
-0.077231,0.067823,9.802436
-0.089949,0.025355,9.799337
-0.089464,0.010963,9.81047
-0.071745,-0.035298,9.822607
-0.056628,-0.053584,9.826733
-0.0522,-0.119156,9.824808
-0.02511,-0.154074,9.828867
-0.029535,-0.153739,9.820979
-0.006109,-0.202764,9.865788
0.122052,-0.344117,9.816481
0.264643,-0.392778,9.731491
-0.008691,-0.310971,9.879515
-0.00602,-0.259413,9.885935
0.063074,-0.191801,9.801207
-0.162946,-0.116456,9.923547
-0.170149,-0.007665,9.875564
-0.136873,0.067684,9.840298
-0.160556,0.160974,9.814887
-0.117037,0.214805,9.779994
-0.230297,0.299702,9.849139
-0.975168,0.64441,10.52231
-0.674741,0.354996,9.883651
-0.17784,0.497522,9.725016
-0.259019,0.386801,9.874923
-0.292483,-0.013227,9.848409
-0.315854,-0.121298,9.977653
-0.251523,-0.085718,9.95578
-0.320901,0.191481,9.880954
-0.413208,0.38869,9.808749
-0.496466,0.623001,9.835981
-0.516842,0.648348,9.932604
-0.457391,0.679705,9.908556
-0.449302,0.60337,9.945327
-0.513648,0.48174,10.002642
-0.40914,0.402713,10.005663
-0.285136,0.342128,10.030919
-0.211432,0.366964,9.889262
-0.174409,0.450507,9.772905
-0.178614,0.486943,9.752582
-0.19872,0.659821,9.695776
-0.299429,0.66032,9.569842
-0.141399,0.959539,9.781611
-0.253638,0.953251,9.606609
-0.164836,1.064322,9.636159
-0.122823,1.179511,9.674878
-0.096809,1.143102,9.700228
-0.32685,0.72976,9.494011
-0.268486,0.616781,9.675724
-0.233559,0.553346,9.640207
-0.22034,0.570873,9.741881
-0.199405,0.651896,9.867587
-0.186837,0.68174,9.959279
-0.172503,0.664771,10.11843
