PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
03888,8616064,-0.102664,-0.145675,9.794188,0.001777,0.000045,0.003836
03889,8616089,-0.133428,-0.176590,9.860446,0.006323,-0.005138,0.003498
03890,8616114,-0.142848,-0.105398,9.888793,0.002462,-0.002985,0.003920
03891,8616139,-0.073702,-0.135515,9.786439,-0.001837,-0.001451,0.006854
03892,8616164,-0.114330,-0.182730,9.802030,-0.002412,0.006480,0.001364
03893,8616189,-0.129853,-0.166665,9.771395,0.001056,0.000798,0.002634
03894,8616214,-0.065549,-0.154183,9.771872,0.004046,0.002522,0.004572
03895,8616239,-0.137957,-0.146818,9.834266,0.005815,0.002552,0.002887
03896,8616264,-0.126163,-0.124416,9.826446,0.001148,-0.002663,0.003367
03897,8616289,-0.112033,-0.137022,9.826398,0.003662,0.001933,0.002278
03898,8616314,-0.147713,-0.146412,9.818101,0.003912,0.001030,0.002611
03899,8616339,-0.102842,-0.178820,9.825778,-0.000483,0.002880,0.002787
03900,8616364,-0.093970,-0.176094,9.817433,0.002036,0.002653,0.003599
03901,8616389,-0.105782,-0.139681,9.832121,0.002588,-0.002378,0.006428
03902,8616414,-0.147866,-0.141040,9.818268,-0.001365,-0.000210,0.006253
03903,8616439,-0.149259,-0.150107,9.762693,0.002020,-0.001276,0.003766
03904,8616464,-0.122827,-0.115147,9.823871,0.002643,-0.000609,0.005186
03905,8616489,-0.127445,-0.133631,9.833837,0.000157,-0.003095,0.002091
03906,8616514,-0.127480,-0.156669,9.829928,0.003501,-0.002222,0.004647
03907,8616539,-0.128002,-0.154079,9.825922,0.002786,-0.000450,0.001780
03908,8616564,-0.129325,-0.152969,9.797692,-0.000019,0.000451,0.005802
03909,8616589,-0.073311,-0.161707,9.811449,-0.000970,-0.000292,0.002017
03910,8616614,-0.166928,-0.171148,9.822774,0.001017,-0.001024,0.001665
03911,8616639,-0.112329,-0.142659,9.812212,0.000801,0.000777,0.004276
03912,8616664,-0.116119,-0.124356,9.800672,0.000245,0.004562,0.003570
03913,8616689,-0.162245,-0.171448,9.837270,-0.000139,-0.001898,0.003197
03914,8616714,-0.137655,-0.129429,9.814644,-0.001284,-0.002621,0.000482
03915,8616739,-0.106595,-0.138827,9.792543,0.000267,-0.004135,0.002823
03916,8616764,-0.112061,-0.188192,9.805632,-0.000706,-0.001591,0.000354
03917,8616789,-0.143716,-0.154334,9.832645,0.001458,-0.002210,0.003891
03918,8616814,-0.097235,-0.116594,9.754706,-0.000609,-0.003277,0.003288
03919,8616087,NaN,NaN,NaN,NaN,NaN,NaN
03920,8616839,-0.203562,-0.193873,9.873295,-0.001320,-0.001992,0.004012
03921,8616864,-0.112866,-0.225585,9.801008,0.004413,-0.004070,0.003468
03922,8616889,-0.074561,-0.124315,9.791304,0.003623,-0.003242,0.000005
03923,8616914,-0.177017,-0.121338,9.923863,-0.004451,-0.002685,0.005513
03924,8616939,-0.159843,-0.088483,9.890583,0.001416,-0.011034,0.003768
03925,8616964,-0.013189,-0.102649,9.704971,-0.002779,-0.003560,0.003327
03926,8616989,-0.115656,-0.245030,9.774374,-0.004525,-0.002006,-0.000010
03927,8617014,-0.141632,-0.197402,9.799124,0.000625,-0.006968,0.003644
03928,8617039,-0.257297,-0.010132,10.030487,-0.001882,-0.007960,0.000847
03929,8617064,-0.107710,0.029152,9.896852,-0.010155,-0.008288,0.001576
03930,8617089,0.097469,-0.386109,9.527845,-0.009198,-0.006358,0.001252
03931,8617114,-0.227763,-0.386152,9.801321,0.006986,-0.003877,0.003477
03932,8617139,-0.201880,0.057091,9.960797,0.003005,-0.012492,0.001595
03933,8617164,0.039205,0.032133,9.716034,-0.006340,-0.000745,0.003255
03934,8617189,-0.260167,-0.240369,9.828494,-0.005549,0.000269,0.004854
03935,8617214,-0.098736,-0.263132,9.761287,0.000859,-0.007282,0.002236
03936,8617239,-0.016840,-0.238564,9.769273,-0.000206,-0.009203,0.003601
03937,8617264,-0.067696,-0.079710,9.814191,-0.000568,-0.003164,0.005721
03938,8617289,-0.215764,0.067829,9.933330,-0.002100,-0.004198,0.004228
03939,8617314,0.082772,-0.252610,9.567639,-0.012352,0.002418,0.005650
03940,8617339,-0.000542,-0.528400,9.618095,0.004592,0.009289,0.002474
