Gyr_X,Gyr_Y,Gyr_Z
-0.04198,-0.02038,0.387257
-0.043222,-0.01899,0.383209
-0.043643,-0.018696,0.381007
-0.043309,-0.015908,0.377687
-0.045553,-0.013174,0.37569
-0.045037,-0.011773,0.376739
-0.043944,-0.01334,0.372516
-0.048383,-0.007315,0.370363
-0.045756,-0.005955,0.367441
-0.052372,-0.002921,0.363661
-0.048442,-0.005192,0.367371
-0.050372,0.001911,0.364258
-0.054045,-0.000638,0.360944
-0.054279,0.003215,0.358591
-0.054187,0.004312,0.362568
-0.0562,0.000983,0.360129
-0.056915,0.009087,0.355782
-0.058037,0.006495,0.358542
-0.062515,0.006031,0.356185
-0.057778,0.0039,0.357497
-0.061625,0.006061,0.354356
-0.064181,0.006916,0.350863
-0.063704,0.005598,0.35309
-0.065297,0.005395,0.35091
-0.069471,0.006815,0.345852
-0.070724,0.001553,0.343131
-0.069524,-0.002345,0.34365
-0.071399,-0.001557,0.337055
-0.075199,0.001498,0.334909
-0.076984,0.000406,0.334506
-0.077878,-0.003064,0.328121
-0.080998,-0.006671,0.323641
-0.088163,-0.006899,0.31989
-0.094499,-0.001611,0.316558
-0.097223,-0.004931,0.314046
-0.100996,-0.007266,0.31373
-0.106969,-0.004487,0.311285
-0.10878,-0.008591,0.306448
-0.1156,-0.008294,0.302113
-0.119643,-0.003818,0.302007
-0.12181,-0.004351,0.301474
-0.125588,-0.005573,0.296561
-0.128914,-0.003621,0.297936
-0.135599,-0.003307,0.296239
-0.142489,0.003671,0.296276
-0.144093,0.004018,0.295693
-0.146338,0.001916,0.296151
-0.149785,0.002877,0.298794
-0.155942,0.006027,0.294504
-0.159824,0.004577,0.297748
-0.159986,0.005723,0.299632
-0.15779,0.010475,0.301213
-0.15908,0.007742,0.301025
-0.15945,0.011726,0.30557
-0.161998,0.009998,0.307996
-0.162846,0.013504,0.313125
-0.155745,0.010061,0.314874
-0.158119,0.007459,0.319477
-0.157209,0.010838,0.322268
-0.15208,0.020156,0.324472
